id,State,District,Name,Category,Imgae,Description,ByAir,ByTrain,ByRoad
1,Uttarkhand,Bageshwar,Kanda,Natural,https://i.postimg.cc/XJTSxG84/1.png,"This picturesque place is a treat for nature lovers and is situated at a distance of 25 kms from Bageshwar. An ancient Bhadrakali temple stands very near to Kanda. The beautiful hill station, and home of peace (Shantinikitan ) Kanda is situated at 1500-1900m above sea leave. Surrounded by beautiful mountains and terraced fields it captivates the senses and imaginations of the locals and visitors alike. Both the local people and the visitors appreciate the beauty here and benefit from the pure air and healthy environment that mountain scenery presents. According to legends, and the older inhabitants, there once lived a local caste of Kanyal. Kanda is named after this caste. The hills of Kanda are very attractive to foreign visitors, and is often likened to the Swiss Alps.",,,25 kms away from District Headquarter
2,Uttarkhand,Bageshwar,Kausani,Natural ,https://i.postimg.cc/xd7NyQXM/2.jpg,"Standing 1890 mts above the sea level, Kausani is natureâ€™s own reserve of solitudes and greenery. Even the father of the nation, Mahatama Gandhi has contemplated on the beauty of this region. Several snow capped peaks stand in a stately row, over 300 kms in length, shining against the azure sky making the horizon as seen from Kausani and enviable spectacale. The glory of the snow crowned Himalayan range reaches itâ€™s pinnacle when the sun rays turn them into crimson and gold. Mahatama Gandhi, who spent 12 days in 1929 at Kausani, penned his memorable commentary on the Geeta-Ana-Sakti yoga inspired by the scenic grandeur of this richly gifted spot. The guest house where the Mahatama stayed is now know as Anasakti Ashram. Hindi poet laureate Sumitranandan Pant was born at Kausani. Some of his early poems composed here have described nature in itâ€™s myriad manifestations. There is small museum to earmark that sacred spot. Kausani is ideal for those who seek to escape from the din and dust, hustle and bustle of big cities and wish to spend a quiet holiday in the lap of nature. Indeed, Kausani is a veritable heaven of beauty to which an excursion must be made on visiting Kumaun. The wide expanse of the famous Katyur Valley lies in front of it as you wake up to experience the Kausani sunrise.",,,40 Kms away from District Headquarter
3,Uttarkhand,Bageshwar,Baijnath,Historic,https://i.postimg.cc/c1818Y7D/3.jpg,"Lying in the Katyuri valley, 19 KMs away from Kausani and 26 kms from Bageshwar, is the small but ancient town of Baijnath. It was once upon a time the capital of the Katyuri dynasty of kings and the place was then called Kartikyapura. In Kumaun socio cultural region, Baijnath is one among remote antiquity and of historical importance. The remnants of those glorious days lies at the bank of the Gomti river in the form of a group of temples. The temple is famous for itâ€™s ancient and magnificent stone idol of the Hindu goddess Parvati. Around 8 KMs from Baijnath on the Gwaldam road is lies the famous Kotkimai temple. One can also visit Pandusthal which lies nearby.",,,25 Kms away from District Headquarter.
4,Uttarkhand,Chamoli,Auli,Natural ,https://i.postimg.cc/0NkSnZ5d/4.jpg,"AuliÂ is a ski destination inÂ Chamoli districtÂ in theÂ HimalayanÂ mountains of Uttarakhand. Auli is also known asÂ Auli Bugyal inÂ Garhwali, which means â€œmeadowâ€. It is located at an elevation of 2,500 meters (8,200Â ft) to 3,050 meters (10,010Â ft) aboveÂ sea level. Auli can be reached by road or ropeway from Joshimath .It provides an excellent panoramic view of the giant mountain peaks like Nanda Devi, Kamet and Dunagiri. From January to March, the Auli slopes are usually covered with a thick carpet of snow, about 3 mts deep. In Auli the stretch of 3 Kms. with a drop in elevation of 500 mts. is considered to be a very good skiing ground by international standard. The background of lofty snow clad mountains heightens the spirit of the skiers. To attract attention, skiing festivals are also conducted at Auli. These now include the national championships staged by the Winter Games Federation Of India. While skiing is the chief attraction at Auli, there are other attraction like cable car rides and rope lifts, or spend the day outdoors building snowmen, or having snowball fights.","The nearest Airport is Jolly Grant Airport in Dehradun, which is about 279 km from Auli. Jolly Grant Airport in Dehradun is a domestic airport located at about 20 km away from city center of Dehradun. Taxi and bus services are available from Dehradun airport to Auli.",Rishikesh Haridwar & Dehradun all have Railway Stations. Nearest railhead from Auli is Rishikesh (250 km approx). From Rishikesh one can take a bus/Taxi to reach Auli.,"Auli is only 16 km away from Joshimath. State transport buses play regularly between Joshimath and Rishikesh (253 km). Local Transport Union Buses and State Transport buses operate between Joshimath and Rishikesh (253 km), Haridwar (277 km), Dehradun (298 km) and Delhi (500 km). From Joshimath onwards, Ropeway, bus and taxi services are available for Auli."
5,Uttarkhand,Chamoli,Yogdhyan badri,Religious,https://i.postimg.cc/C5KT4Rzx/5.jpg,"The Yogdhyan Badri Temple is as old as the temple of Badrinath. Pandukeshwar is 24 kms from Joshimath , it has the Yogdhyan Badri temple one of the panch badri . The image here, in a meditative posture, is worshiped as at Badrinath.","The nearest Airport is Jolly Grant Airport in Dehradun, which is about 282 km from Yogdhyan Badri which is situated in Pandukeshwar. Taxi and bus services are available from Dehradun airport to Pandukeshwar.",Rishikesh Haridwar & Dehradun all have Railway Stations. Nearest rail-head from Yogdhyan Badri is Rishikesh (255 km approx). From Rishikesh one can take a bus/Taxi to reach Yogdhyan Badri.,"Yogdhyan Badri is situated in Pandukeshwar(Badrinath-Rishikesh national highway). State transport buses play regularly between Pandukeshwar and Rishikesh (275 km). Local Transport Union Buses and State Transport buses operate between Pandukeshwar and Rishikesh (275 km), Haridwar (297 km), Dehradun (318 km) and Delhi (520 km)."
6,Uttarkhand,Chamoli,Rudranath temple,Religious,https://i.postimg.cc/kG5NXmhH/6.jpg,"Rudranath Temple is a temple of Lord Shiva situated in Chamoli district of Uttarakhand state of India,which is one of the Panchkedars .Located at an altitude of 2290 meters above sea level, the Rudranath temple is full of grand natural shade. In the Rudranath temple, Lord Shankarâ€™s Ekanan means that the face is worshiped, while the whole body is worshiped in the Pashupatinath of Nepalâ€™s capital of Kathmandu. The Nanda Devi and the snow-covered peaks of Trishul are visible from the front of the Rudranath temple.","Rudranath is located on Gopeshwar-Kedarnath Road. Nearest airport is Jolly Grant, Dehradun which is about 258 km from Gopeshwar. Taxi and bus services are available from Dehradun airport to Gopeshwar.",Rudranath is located on Gopeshwar-Kedarnath Road. Rishikesh Haridwar & Dehradun all have Railway Stations. Nearest rail-head from Gopeshwar is Rishikesh (241 km approx). From Rishikesh one can take a bus/Taxi to reach Gopeshwar.,"Rudranath is located on Gopeshwar-Kedarnath Road. From Rishikesh, the entry point is at Sagar village is 219 km. A 20 km trek from Sagar will end at Rudranath."
7,Uttarkhand,Chamoli,Adbadri,Religious,https://i.postimg.cc/QNWY7g6n/7.jpg,"
Adbadri ,also known in revenue records as Helisera, is set in beautiful surroundings and the road from Lohba to Adbadri passes through scenic terrain. Just above Adbadri is the small Lake of Benital. At Adbadri are the remains of Sixteen temples similar to those found at dwarahat ( in district Almora) and the one dedicated to Badrinarayan is still used for worship as are the others but to a lesser degree. The local people have a superstitious belief that in a few year the road from Joshimath to Badrinath will be closed by the meeting of the hill near the temple that stand opposite each other and that then this temple will become a place for pilgrimage. There are remains of sixteen small temples, of which seven are more ancient with flat roofs belonging to the late Guptas period. Local tradition assigned the building of the temples to the the Shankracharya, the celebrated reformer and philosopher of the eighth century. All the temples are crowded together into a small space( 12.5 mts X 25 mts.) and vary in height from 2 to 6 mts.
","Nearest airport is Jolly Grant, Dehradun which is about 210 km from Adbadri. Taxi and bus services are available from Dehradun airport to Adbadri.","Rishikesh, Haridwar & Dehradun all have Railway Stations. Nearest rail-head from Adbadri is Rishikesh (192 km approx). From Rishikesh one can take a bus/Taxi to reach Adbadri.","Adi Badri is approachable from Karnaprayag, 19 kms which in turn is connected by a motorable road with Ranikhet, Nainital and Ramnagar."
8,Uttarkhand,Chamoli,Bhavishya badri,Religious,https://i.postimg.cc/2yjTtJRz/8.jpg,"
Literally, the Badrinath of the future, the temple of Bhavishya Badri is at Subain, about 17 Kms from Joshimath to the east toward Lata. It is beyond Tapovan, up the Dhauliganga river and involves a track of about 3 Kms. from the motor road. It has an altitude of 2744 mts. and is located within dense forest. The approach along the Dhauli river is stimulating. The name Dhauliganga means (white water) and truly it is roaring torrent almost every where upstream from Tapovan and passes through almost perpendicular cliffs on either side, several 100 mts. high and wild in the extreme.
",Jolly Grant airport Dehradun is the nearest airport 268Km from Joshimath through Rishikesh. Taxi and bus services are available from Dehradun airport to joshimath.,Rishikesh railway station is the nearest rail-head 251Km from Joshimath. Taxi or jeeps are available to Joshimath from Rishikesh railway station.,"Saldhar is connected to Joshimath, 19Km away, by motorable road. Bhavishya Badri temple is 6 Km trek from Saldhar. Joshimath is well connected to most parts of Uttarakhand state through motorable road."
9,Uttarkhand,Chamoli,Gopeshwar,Natural,https://i.postimg.cc/QdJj39v0/8.jpg,"
Situated at a height of 1308 mts. amidst beautiful mountain ranges, terrace farms and small lakes, the picturesque township of Gopeshwar is the district headquarter of Chamoli. An ancient temple of Lord Shiva is the main attraction of the town and thousands of pilgrims come here throughout the year to visit the temple. Owing to its natural beauty and fresh and serene atmosphere, Gopeshwar is becoming a major attraction for the tourists. Many well known tourist spots and religious centres are spread around this town. According to historians, the name Gopeshwar has associations with the name of Lord Krishna.",Jolly Grant Airport is the nearest Airport to Gopeshwar situated at a distance of 225 km. Jolly Grant Airport is well connected to Delhi with daily flights. Gopeshwar is well connected by motor-able roads with Jolly Grant Airport. Taxis are available from Jolly Grant Airport to Gopeshwar.,"The nearest railway station to Gopeshwar is Rishikesh. Rishikesh railway station is situated 205 km before Gopeshwar on NH 58. Rishikesh is well connected by railway networks with major destinations of India. Trains to Rishikesh are frequent. Gopeshwar is well connected by motor-able roads with Rishikesh. Taxis and buses are available from Rishikesh, Srinagar, Rudraprayag and many other destinations to Gopeshwar.","Gopeshwar is well connected by motor-able roads with major destinations of Uttarakhand state. Buses to Rishikesh and Srinagar are available from ISBT Kashmiri Gate. Buses and Taxis to Gopeshwar are easily available from major destinations of Uttarakhand state like Rishikesh, Pauri, Uttarkashi, Rudraprayag, Ukhimath, Srinagar, Joshimath etc. Gopeshwar is situated on the road connecting NH 119 and NH 58."
10,Uttarkhand,Chamoli,Vasu dhara,Adventure,https://i.postimg.cc/Lsxb6MtZ/10.jpg,"Water falls have always captivated the human imagination. 5 Kms. from Mana village, toward the west is the Vasudhara fall with a sheer drop of 145 mtrs., set in a background of snowy peaks, glaciers and rocky heights. Violent wind sometimes spread out the entire volume of the water falling and it appears that the water fall ceases for a minute or two, giving rise to a lot of superstitious ideas to the locals.","The nearest Airport is Jolly Grant Airport in Dehradun, which is about 325 km from Vashu Dhara which is situated near Badrinath. Taxi and bus services are available from Dehradun airport to Badrinath.","Rishikesh, Haridwar & Dehradun all have Railway Stations. Nearest rail-head from Vashu Dhara is Rishikesh (280 km approx). From Rishikesh one can take a bus/Taxi to reach Vashu Dhara.","Vashu Dhara is about 7 Km trek from Mana village which is 2 km away from Badrinath. State transport buses play regularly between Badrinath and Rishikesh (280 km). Local Transport Union Buses and State Transport buses operate between Badrinath and Rishikesh (280 km), Haridwar (300 km), Dehradun (325 km) and Delhi (540 km)."
