Id,From,To,By Air,By Road,By Train
1,Pune,Sarada mandiram,4708,800,580
2,Pune,Alappuzha beach,4900,2500,700
3,Pune,Sea view park,7000,1465,565
4,Pune,Vijay beach park,3600,1100,400
5,Pune,R.block,4000,1200,600
6,Pune,Pathiramanal,7500,1500,700
7,Pune,Karumadikkuttan,7680,1100,650
8,Pune,Kumarakodi,7316,1800,1112
9,Pune,Krishnapuram palace,3916,1051,485
10,Pune,Edapally st. george forane church,6216,1200,700
11,Pune,Bolgatty palace,6366,1600,611
12,Pune,Wonderla,5000,1427,758
13,Pune,Mangalavanam bird sanctuary,6000,1541,600
14,Pune,Ernakulam shiva temple,6366,1541,700
15,Pune,Hill palace,6600,1881,900
16,Pune,Fort kochi,6916,1690,1000
17,Pune,Bhoothathaankettu,7000,1960,1700
18,Pune,Cherai beach,6400,2180,1260
19,Pune,Kulamavu dam,7800,3000,2400
20,Pune,Cheruthoni dam,7916,2700,1900
21,Pune,"Periyar tiger reserve, thekkady",9000,2700,1500
22,Pune,Munnar,8400,2000,1500
23,Pune,Idukki arch dam,8000,2600,1300
24,Pune,Paithalmala,6600,2300,2200
25,Pune,Kannur fort,6200,1300,700
26,Pune,Payyambalam beach,6500,1600,1200
27,Pune,Valiyaparamba,7100,2100,1000
28,Pune,Ranipuram hill station,8200,3400,2000
29,Pune,Bekal fort,7100,2500,1400
30,Pune,Jatayu adventure center,5600,2300,1300
31,Pune,Thenmala,6500,2600,1200
32,Pune,Palaruvi waterfalls,7300,3100,1400
33,Pune,Illickal kallu,7500,3000,2000
34,Pune,Aruvikuzhy waterfalls,7600,2300,1500
35,Pune,Malarikkal village tourism,7600,2400,1500
36,Pune,Ilaveezhapoonchira,7400,2600,2000
37,Mumbai,Sarada mandiram,8000,3200,1000
38,Mumbai,Alappuzha beach,6200,1500,700
39,Mumbai,Sea view park,6000,2500,900
40,Mumbai,Vijay beach park,6500,1500,1000
41,Mumbai,R.block,4000,2000,700
42,Mumbai,Pathiramanal,6900,1500,800
43,Mumbai,Karumadikkuttan,6000,1600,900
44,Mumbai,Kumarakodi,6100,1700,1200
45,Mumbai,Krishnapuram palace,6100,1600,1200
